delo,št_oglasa,lokacija,plača_neto[€/h],plača_bruto[€/h],opis,prosta_mesta,trajanje,delovnik,začetek_dela
KLICNI CENTER,435900,NOVO MESTO,7.44,8.65,"Iščejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. E-prijavi priloži CV. ",1,DO 15. 11. 2024,DOPOLDAN,23. 9. 2024
KLICNI CENTER,435899,NOVA GORICA Z OKOLICO,7.44,8.65,"Iščejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. E-prijavi priloži CV. ",1,DO 15. 11. 2024,DOPOLDAN,23. 9. 2024
KLICNI CENTER,435898,MURSKA SOBOTA,7.44,8.65,"Iščejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. E-prijavi priloži CV. ",1,DO 15. 11. 2024,DOPOLDAN,23. 9. 2024
KLICNI CENTER,435897,MARIBOR,7.44,8.65,"Iščejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. E-prijavi priloži CV. ",1,DO 15. 11. 2024,DOPOLDAN,23. 9. 2024
ELEKTROINŠTALACIJE,435896,PTUJ IN OKOLICA,8.0,9.3,"V podjetju potrebujejo polnoletni in zanesljivi osebi za pomoč pri izvajanju elektroinštalacijskih in drugih pomožnih del v delavnici in na terenu v okolici Ptuja. Dela se v dopoldanskem času, po dogovoru in potrebi. Interesenti naj pokličejo. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
KLICNI CENTER,435894,KOPER,7.44,8.65,"Iščejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. E-prijavi priloži CV. ",1,DO 15. 11. 2024,DOPOLDAN,23. 9. 2024
KLICNI CENTER,435893,CELJE,7.44,8.65,"Iščejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. E-prijavi priloži CV. ",1,DO 15. 11. 2024,DOPOLDAN,23. 9. 2024
VADITELJ/ICA,435892,CELJE,12.0,13.95,"Podjetje potrebuje študenta/ko višjih letnikov (tretji letnik) ali diplomanta/ko smeri kineziologija ali fizioterapija za vodenje skupinskih vadb za hrbtenico ter protibolečinskih masaž. Pogoji: izkušnje iz samostojnega vodenja skupinskih vadb in masaž, točnost in zanesljivost. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,9. 9. 2024
KLICNI CENTER,435891,LJUBLJANA,7.44,8.65,"Iščejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. E-prijavi priloži CV. ",3,DO 15. 11. 2024,DOPOLDAN,23. 9. 2024
KOORDINATOR,435890,LJUBLJANA,8.17,9.5,"V eni od vodilnih medijskih hiš iščejo študenta/ko za pomoč pri koordinaciji in organizaciji sestankov za uredništvo in produkcijski tim, za ustvarjanje in urejanje vsebin za podkaste in video vsebine, za ažuriranje vsebin na socialnih omrežjih, ter podporo pri razvoju novih projektov. Tvoje delo bo potekalo fleksibilno, po vnaprejšnjem dogovoru. Izkušnje s poznavanjem medijev so prednost. V kolikor te opisane naloge zanimajo, pošlji CV s kratkim opisom izkušenj.   ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,26. 8. 2024
KLICNI CENTER,435889,LJUBLJANA,7.44,8.65,"Potrebujejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. Pošlji e-prijavo s CV-jem. ",1,DO 15. 11. 2024. ,DOPOLDAN,23. 9. 2024
OGLAŠEVANJE,435888,TRZIN,8.0,9.3,"Oglaševalec za testiranje kreativ. Vodilno e-commerce podjetje, ki mesečno vlaga 5 mio € v Facebook oglaševanje, išče študenta/ko za testiranje kreativ. Tvoja naloga bo kreiranje in optimizacija oglasov, ki prinašajo zmagovalne kreative in povečujejo prodajo. Sodeloval/a boš z oglaševalsko in kreativno ekipo, da skupaj dosežete cilje, ki prinesejo tudi finančne nagrade. Možnost dolgoročnega občasnega sodelovanja in zaposlitve. Pošlji elektronsko prijavo z opisom svojih izkušenj in/ali znanj. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
STREŽBA,435886,LJUBLJANA,8.61,10.0,"Iščejo osebo za pomoč v strežbi pijače, zlaganje pripravljene hrane iz termoportov. Pričakovanja: izkušnje v strežbi, pogovorno znanje slovenskega jezika, komunikativnost, prijaznost, veselje do dela z ljudmi. Delo bo potekalo v mesecu septembru, med tednom, cca 4 ure/dan, po dogovoru in potrebi kot občasna pomoč. Nudijo delo v prijetnem okolju, dobre delovne pogoje ter malico na delovnem mestu.     ",1,SEPTEMBER,DOPOLDAN,2. 9. 2024
POMIVALEC,435885,LJUBLJANA,6.88,8.0,"Potrebujejo osebo za pomoč v kuhinji (pomivanje posode, čiščenje . . . ). ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
POLNJENJE POLIC IN BLAGAJNIK,435884,SEŽANA,6.2,7.21,V trgovini z oblačili potrebujejo študenta/ko za delo na blagajni in polnjenje polic.   ,2,PO DOGOVORU,IZMENSKO,26. 8. 2024
STREŽBA,435883,LAŠKO,6.2,7.21,"V prijetnem lokalu potrebujejo pomoč polnoletnih, zanesljivih in komunikativnih oseb. Izkušnje so zaželene. Nedelje in prazniki so prosti. Interesenti naj pokličejo na kontakt podjetja. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
